nomcoor,municipi,lloc,estil,epoca,lat,lon,prot,idprot,imatge
Molí de Gualta,Gualta,,"Obra popular, gòtic","XIV, XVIII",42.027663,3.104112,BCIN,925-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Molí_de_Gualta.jpg/218px-Molí_de_Gualta.jpg
Castell de Jafre,Jafre,C. de la Creu,,XIII-XIV,42.0727139,3.0110917,BCIN,951-MH,
La Torre Simona (Mont-ras),Mont-ras,"Camí ral de Palafrugell a Palamós, nucli de Torre Simona",,XIV-XV,41.8977972,3.1503806,BCIN,1100-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Torre_Simona.jpg/218px-Torre_Simona.jpg
Torre de Can Colom (Mont-ras),Mont-ras,Pujol darrera el Mas de Cucala,,Medieval,41.906624,3.143207,BCIN,1101-MH,
Restes de la muralla medieval (Palafrugell),Palafrugell,Pl. Nova,,XV-XVI,41.916817,3.16462,BCIN,1160-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/DSC_0008restesmedievals.JPG/218px-DSC_0008restesmedievals.JPG
Torre de Can Boera (Palafrugell),Palafrugell,"C. de la Font, 43-45 - c. d'Anselm Clavé, 12-16",,XVI-XVII,41.915613,3.160581,BCIN,1161-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Torre_de_Can_Boera.jpg/218px-Torre_de_Can_Boera.jpg
Torre dels Moros (Palafrugell),Palafrugell,Puig de les Torretes,Obra popular,XVII-XVIII,41.921442,3.158848,BCIN,1165-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Torre_dels_Moros.jpg/218px-Torre_dels_Moros.jpg
Torre de Sant Sebastià (Palafrugell),Palafrugell,Santuari de Sant Sebastià de la Guarda,,XVI-XVII,41.897118,3.202877,BCIN,1167-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Palafrugell_-_Torre_de_Sant_Sebastià.jpg/218px-Palafrugell_-_Torre_de_Sant_Sebastià.jpg
Torre del Mas Fina (Palafrugell),Palafrugell,Ermedàs,Obra popular,XVI-XVII,41.894309,3.163309,BCIN,1162-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Torre_del_Mas_Fina.jpg/218px-Torre_del_Mas_Fina.jpg
Can Borrull (Palafrugell),Palafrugell,Santa Margarida,,XVI-XVII,41.907391,3.172186,BCIN,1163-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Can_Borrull.jpg/218px-Can_Borrull.jpg
Torre Roja (Palafrugell),Palafrugell,"Els Lladrès, Ermedàs",Obra popular,XVI-XVII,41.904431,3.163806,BCIN,1164-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Torre_Roja_vista_general.jpg/218px-Torre_Roja_vista_general.jpg
Torre de Calella (Palafrugell),Palafrugell,"Pg. de la Torre, 30, Calella",,XVI-XVII,41.889019,3.190269,BCIN,1168-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Torre_de_Calella.jpg/218px-Torre_de_Calella.jpg
Castell de Cap Roig (Palafrugell),Palafrugell,Cap Roig,,XX,41.877291,3.177468,BCIN,1169-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Jardins_de_Cap_Roig_01.jpg/218px-Jardins_de_Cap_Roig_01.jpg
Torre Vila-seca (Palafrugell),Palafrugell,"C. de Vila-seca, 21",,XVI-XVII,41.917357,3.174071,BCIN,1166-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Torre_de_guaita_Vila-seca.jpg/218px-Torre_de_guaita_Vila-seca.jpg
Torre de Can Mario (Palafrugell),Palafrugell,Pl. de Can Mario,Arquitectura del ferro<br />General Guitart i Lostaló,XX (1904),41.918522,3.165976,BCIN,1903-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Can_Mario.jpg/218px-Can_Mario.jpg
Port Bo (Calella de Palafrugell),Palafrugell,,Obra popular,XVIII,41.88837,3.18525,BCIN,1928-CH,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Calella2.JPG/218px-Calella2.JPG
Castell de Sant Esteve de Mar (Palamós),Palamós,,,XIII-XVIII,41.8582556,3.1475917,BCIN,1170-MH-ZA,"http://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Palamós,_Castillo_de_Sant_Esteve_de_la_Fosca-PM_28485.jpg/218px-Palamós,_Castillo_de_Sant_Esteve_de_la_Fosca-PM_28485.jpg"
Castell de Vila-romà (Palamós),Palamós,,,Medieval,41.8820861,3.1077861,BCIN,1171-MH,
Mas Juny (Palamós),Palamós,Sobre la cala s'Alguer,,XVI-XVII,41.86345,3.1527889,BCIN,1175-MH,
Torre del Mas Xec (Palamós),Palamós,Camí de la Torre Mirona,Obra popular,XVI-XVII,41.870092,3.142036,BCIN,1924-MH,
Mas de la Pietat (Palamós),Palamós,,,XVI-XVII,41.871425,3.1216417,BCIN,1172-MH,
La Torre Mirona (Palamós),Palamós,,,XVI-XVII,41.8742583,3.1493806,BCIN,1173-MH,
Mas Agustí (Palamós),Palamós,"C. de Mas Juny, Sant Esteve de la Fosca",,XVI-XVII,41.8636972,3.1455361,BCIN,1174-MH,
Torre del Mas Pepó (Palamós),Palamós,,,XVI-XVII,41.864045,3.141220,BCIN,1176-MH,
Cala s'Alguer (Palamós),Palamós,,Obra popular,,41.86216,3.15189,BCIN,,
Ermita de Sant Julià de Boada (Palau-sator),Palau-sator,Sant Julià de Boada,Preromànic,X,41.985391,3.121933,BCIN,168-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Ermita_Sant_Julià_de_Boada.jpg/218px-Ermita_Sant_Julià_de_Boada.jpg
Castell de Palau-sator,Palau-sator,,,"X-XI, XIV-XV",41.989658,3.110073,BCIN,1180-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Castell_de_Palausator.JPG/218px-Castell_de_Palausator.JPG
Muralles de Palau-sator,Palau-sator,,"Romànic, gòtic",XII-XVI,41.989437,3.11,BCIN,3867-MH,
Torre Portal (Palau-sator),Palau-sator,,,XIV,41.988833,3.110333,BCIN,1181-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Palau_sator_Catalonia.JPG/218px-Palau_sator_Catalonia.JPG
Torre cilíndrica a Pantaleu (Palau-sator),Palau-sator,,,XVI-XVII,41.988833,3.109861,BCIN,1182-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Palau-Sator_-_Muralla.jpg/218px-Palau-Sator_-_Muralla.jpg
Castell de Pals,Pals,,,Medieval,41.971791,3.144455,BCIN,1063-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Torre_de_les_Hores.jpg/218px-Torre_de_les_Hores.jpg
Muralles de Pals,Pals,,,XIV,41.973547,3.144388,BCIN,1064-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Muralles_de_Pals.jpg/218px-Muralles_de_Pals.jpg
Torre d'en Deri (Pals),Pals,Can Jofre,"Obra popular, gòtic",XVI-XVII,41.983859,3.1554,BCIN,1065-MH,
Mas de la Torre (Pals),Pals,,,XVI-XVII,41.994833,3.168972,BCIN,1066-MH,
Mas Tomasí (Pals),Pals,,,XVI-XVII,41.980575,3.168942,BCIN,1067-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Pals_Mas_Tomasí.jpg/218px-Pals_Mas_Tomasí.jpg
Torre Mora (Pals),Pals,,Obra popular,XVI-XVII,41.983945,3.201935,BCIN,1068-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Torre_Mora_(Pals)_-_RI-51-0006009_(2).jpg/218px-Torre_Mora_(Pals)_-_RI-51-0006009_(2).jpg
Barri del Pedró (Pals),Pals,,Gòtic,XII-XXI,41.97163,3.14352,BCIN,CH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Pals_02_JMM.JPG/218px-Pals_02_JMM.JPG
Església fortificada de Sant Feliu (Parlavà),Parlavà,,,XV,42.022245,3.030048,BCIN,1205-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Parlavà_campanar.JPG/218px-Parlavà_campanar.JPG
Castell de Fonolleres (Parlavà),Parlavà,[[Fonolleres (Parlavà)|Fonolleres]],,,42.021290,3.052279,BCIN,1206-MH,
Casal fortificat Mas de Puig (Parlavà),Parlavà,,,XVII,42.020196,3.029753,BCIN,1207-MH,
Mas Cros (Parlavà),Parlavà,,,,42.022418,3.028843,BCIN,1208-MH,
La Força de la Pera,La Pera,,,Medieval,42.020546,2.973785,BCIN,1069-MH,
Castell de Púbol i església del castell (la Pera),La Pera,,Gòtic tardà,"XI, XIV-XVI",42.014799,2.983372,BCIN,377-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Púbol_Baix_Empordà_Catalunya.JPG/218px-Púbol_Baix_Empordà_Catalunya.JPG
Muralles de Púbol (la Pera),La Pera,Púbol,,Medieval,42.016653,2.984501,BCIN,1070-MH,
Recinte fortificat (Regencós),Regencós,,,XIV-XV,41.953953,3.170710,BCIN,1348-MH,
Muralles de Rupià,Rupià,,,XIV-XV,42.023141,3.012088,BCIN,1333-MH,
Castell de Rupià,Rupià,,Gòtic,XIV-XV,42.020426,3.010736,BCIN,1332-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Castell_de_Rupià.JPG/218px-Castell_de_Rupià.JPG
Muralla de Sant Feliu (Sant Feliu de Guíxols),Sant Feliu de Guíxols,Nucli antic,Obra popular,XIV-XVII,41.780881,3.027377,BCIN,4023-MH-ZA,"http://upload.wikimedia.org/wikipedia/commons/thumb/2/24/049_Restes_de_la_muralla_al_c._Notaria,_5.jpg/218px-049_Restes_de_la_muralla_al_c._Notaria,_5.jpg"
Monestir de Sant Feliu (Sant Feliu de Guíxols),Sant Feliu de Guíxols,Pl. del Monestir,"Preromànic, romànic, gòtic, barroc","X-XI, XII, XIV-XV, XVIII",41.780181,3.02676,BCIN,189-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Monestir_de_Sant_Feliu_de_Guíxols-PM_28492.jpg/218px-Monestir_de_Sant_Feliu_de_Guíxols-PM_28492.jpg
Nou Casino La Constància (Sant Feliu de Guíxols),Sant Feliu de Guíxols,"Rambla Portalet, 2 - pg. Guíxols, 1",Historicisme<br />General Guitart i Lostaló,"XIX (1890, 1899)",41.781671,3.032122,BCIN,194-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Casino_constancia.JPG/218px-Casino_constancia.JPG
Castell de Sant Elm (Sant Feliu de Guíxols),Sant Feliu de Guíxols,,,,41.774710,3.026671,BCIN,1071-MH,
Castell de Solius (Santa Cristina d'Aro),Santa Cristina d'Aro,Solius,Obra popular,XV,41.810181,2.964242,BCIN,1399-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Castell_de_Solius.jpg/218px-Castell_de_Solius.jpg
Castell de Sant Iscle (Serra de Daró),Serra de Daró,[[Sant Iscle d'Empordà]],,XIII-XVII,42.031457,3.056284,BCIN,1562-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Castell_de_Sant_Iscle_d'Empordà.JPG/218px-Castell_de_Sant_Iscle_d'Empordà.JPG
El Mas Cunyà (Serra de Daró),Serra de Daró,,Obra popular,,42.024122,3.065769,BCIN,1563-MH,
Mas Serrallers (Serra de Daró),Serra de Daró,,,XVI,42.028487,3.072495,BCIN,1564-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Mas_Serrallers.JPG/218px-Mas_Serrallers.JPG
Castell de la Tallada (la Tallada d'Empordà),La Tallada d'Empordà,,Romànic,"XIV-XV, XVI",42.080204,3.055198,BCIN,1442-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Castell_de_la_Tallada_-_Torre.JPG/218px-Castell_de_la_Tallada_-_Torre.JPG
Església de la Tallada (la Tallada d'Empordà),La Tallada d'Empordà,,Romànic,"XII-XIII, XVIII",42.080038,3.055815,BCIN,1849-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Santa_Maria_de_la_Tallada_-_Façana.JPG/218px-Santa_Maria_de_la_Tallada_-_Façana.JPG
Castell de Torrent,Torrent,,,XIV-XV,41.951944,3.127583,BCIN,1656-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Torrent_-_002.jpg/218px-Torrent_-_002.jpg
Torre dels Moscats (Torroella de Montgrí),Torroella de Montgrí,,Obra popular,XVI-XVII,42.054242,3.150225,BCIN,3962-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Torre_dels_Moscats.jpg/218px-Torre_dels_Moscats.jpg
Mas Ral (Torroella de Montgrí),Torroella de Montgrí,A la ctra. entre Torroella de Montgrí i l'Estartit,Obra popular,XVI-XVII,42.045845,3.162206,BCIN,3958-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Mas_Ral.jpg/218px-Mas_Ral.jpg
Castell de Montgrí (Torroella de Montgrí),Torroella de Montgrí,,Gòtic,XIII-XIV,42.05213,3.13163,BCIN,1659-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Castell_de_Montgrí_(Torroella_de_Montgrí)_-_3.jpg/218px-Castell_de_Montgrí_(Torroella_de_Montgrí)_-_3.jpg
Recinte murat de Torroella (Torroella de Montgrí),Torroella de Montgrí,,,XIV-XV,42.043259,3.124027,BCIN,1660-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Torroella_de_montgri_torre_de_les_bruixes.jpg/218px-Torroella_de_montgri_torre_de_les_bruixes.jpg
La Torre Moratxa (Torroella de Montgrí),Torroella de Montgrí,Al cim homònim al nord-nord-est del nucli de l'Estartit,Obra popular,XIV-XV,42.055691,3.183687,BCIN,1661-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Torre_Moratxa.JPG/218px-Torre_Moratxa.JPG
Torre Begura (Torroella de Montgrí),Torroella de Montgrí,Prop de la ctra. de Torroella a l'Estartit,Obra popular,XVI,42.040880,3.1535222,BCIN,1663-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Torre_Begura_de_Torroella_de_Montgrí.jpg/218px-Torre_Begura_de_Torroella_de_Montgrí.jpg
Torre Gran (Torroella de Montgrí),Torroella de Montgrí,,,XVI,42.052325,3.1707639,BCIN,1662-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Torre_Gran.jpg/218px-Torre_Gran.jpg
La Quintaneta (Torroella de Montgrí),Torroella de Montgrí,,,,42.0468361,3.15705,BCIN,1665-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Torre_Quintaneta.jpg/218px-Torre_Quintaneta.jpg
Torre Martina (Torroella de Montgrí),Torroella de Montgrí,,Obra popular,XVI-XVII,42.049005,3.160559,BCIN,1664-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Torre_Martina.jpg/218px-Torre_Martina.jpg
Torre Ferrana (Torroella de Montgrí),Torroella de Montgrí,,,XVI,42.0830139,3.1317722,BCIN,1667-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Torre_Ferrana.JPG/218px-Torre_Ferrana.JPG
Torre Ponça (Torroella de Montgrí),Torroella de Montgrí,,,XV-XVI,42.0611333,3.1886611,BCIN,1668-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Torre_Ponça.jpg/218px-Torre_Ponça.jpg
Museu Monogràfic d'Ullastret,Ullastret,Puig de Sant Andreu,Obra popular,XIX-XX,42.006337,3.079713,BCIN,,
Castell d'Ullastret,Ullastret,,,Medieval,42.0008528,3.0682417,BCIN,1072-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Ullastret_-_Torre_de_la_presó.JPG/218px-Ullastret_-_Torre_de_la_presó.JPG
Castell de Sant Andreu (Ullastret),Ullastret,,,XII-XIII,42.0058639,3.0797722,BCIN,1073-MH,
Castell de Finestres (Ultramort),Ultramort,,,XVI-XVII,42.0383694,3.0346861,BCIN,1672-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Castell_de_Finestres_(Ultramort)_-_Baix_Empordà_.jpg/218px-Castell_de_Finestres_(Ultramort)_-_Baix_Empordà_.jpg
Castell de Verges,Verges,,,Medieval,42.0611111,3.0458333,BCIN,1739-MH,
Recinte fortificat de Verges,Verges,,,XII-XVI,42.062936,3.047254,BCIN,1740-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Castell_de_Verges-Baix_Empordà_.jpg/218px-Castell_de_Verges-Baix_Empordà_.jpg
Cal Rei (Verges),Verges,A l'esquerra del camí de Verges a Garrigoles,Obra popular,"XIV, XV",42.081269,3.022196,BCIN,1741-MH,
Mas Massaller (Verges),Verges,A l'esquerra del camí de Verges a Garrigoles,Obra popular,XV,42.081031,3.022491,BCIN,1742-MH,
Castell de Vilopriu,Vilopriu,,,XV,42.1004278,2.9923806,BCIN,1818-MH-ZA,
Castell de Valldavià (Vilopriu),Vilopriu,[[Valldavià]],,XV-XVI,42.122975,2.9988833,BCIN,1820-MH,
L'Almoina (Vilopriu),Vilopriu,[[Gaüses]],,XIV-XV,42.1009333,2.9640944,BCIN,1819-MH,
Baluard de Terra (Palamós),Palamós,"Pl. dels Arbres, 17","Assentament militar, muralla",Modern (1453/1789),41.848442,3.130508,BCIN,ZA,
Les Pites (Palamós),Palamós,,"Assentament militar, muralla. Edifici religiós, monestir, església. Lloc d'enterrament, Inhumació col·lectiu, necròpolis.",Modern (1453/1789),41.847379,3.132611,BCIN,ZA,
Plaça dels Arbres (Palamós),Palamós,Pl. dels Arbres - c. Enrajolat,"Assentament militar, muralla. Lloc o centre de producció i explotació ceramista.",Modern (1453/1789),41.848058,3.129962,BCIN,ZA,
Poblat ibèric de Castell (Palamós),Palamós,"Punta de Castell, al nord de la platja de Castell","Lloc d'habitació amb estructures conservades, poblat",Des de Ferro-Ibèric Antic a Romà Alt Imperi (-600/100). Romà Baix Imperi (300/400),41.860278,3.158889,BCIN,ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Poblado_ibérico_de_Castell_-_Palamós.JPG/218px-Poblado_ibérico_de_Castell_-_Palamós.JPG
Cova d'en Daina (Santa Cristina d'Aro),Santa Cristina d'Aro,,"Lloc d'enterrament, Inhumació col·lectiu, dolmen ",Des de Neolític Mig-Recent a Neolític Final (-3500/-1800),41.856694,2.991139,BCIN,ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Cova_d'en_Daina_-_002.jpg/218px-Cova_d'en_Daina_-_002.jpg
Castell de Voltrera (Abrera),Abrera,Urbanització de Can Vilalba,Romànic,XI,41.525411,1.927051,BCIN,251-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Castell_de_Voltrera.jpg/218px-Castell_de_Voltrera.jpg
Torre de Can Valls de la Muntanyeta (Castelldefels),Castelldefels,C/ Santiago Rusiñol - Parc de la muntanyeta,Obra popular,XVI,41.281209,1.975222,BCIN,4068-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Torre_de_Can_Valls_de_la_Muntanyeta.jpg/218px-Torre_de_Can_Valls_de_la_Muntanyeta.jpg
Torre Gabriel Folcher (Castelldefels),Castelldefels,"C. Arcadi Balaguer, 106",Obra popular,XVI,41.283362,1.982004,BCIN,4069-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Torre_Gabriel_Folcher.jpg/218px-Torre_Gabriel_Folcher.jpg
Torre de Can Roca de Baix (Castelldefels),Castelldefels,"C. Bisbe Urquinaona, 11",Obra popular,XVI,41.283403,1.978795,BCIN,4076-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Frente_de_Can_Roca_de_Baix_i_torre_.jpg/218px-Frente_de_Can_Roca_de_Baix_i_torre_.jpg
Torre Antoni (Castelldefels),Castelldefels,C. Església - c. Isaac Peral,Obra popular,XVI,41.284871,1.981824,BCIN,4070-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Torre_Antoni.jpg/218px-Torre_Antoni.jpg
Torre Fael i Masia de Cal Patxoca (Castelldefels),Castelldefels,"Av. 320, 18-22",Obra popular,XVI,41.278601,1.966962,BCIN,4071-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/TorreFaelCastelldefels.JPG/218px-TorreFaelCastelldefels.JPG
Torre de Cal Moliner (Castelldefels),Castelldefels,"C. Major, 43",Obra popular,XVI,41.284505,1.982461,BCIN,4072-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Torre_de_Cal_Moliner.jpg/218px-Torre_de_Cal_Moliner.jpg
Torre Moruna (Castelldefels),Castelldefels,Pl. Torremoruna,Obra popular,"X,",41.270382,1.958401,BCIN,4073-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Torre_moruna.jpg/218px-Torre_moruna.jpg
Can Vinyes i Torre de Sant Salvador (Castelldefels),Castelldefels,"Pg. de Can Vinyes, 49",Obra popular,"XVI, XX",41.271962,1.956434,BCIN,4074-MH,
Creu de terme (Castelldefels),Castelldefels,"Pg. de Can Vinyes - Pg. de la Creu, urb. Bellamar",Gòtic,XV,41.270554,1.955378,BCIN,4004-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Cruz_del_termino_de_Castelldefels..jpg/218px-Cruz_del_termino_de_Castelldefels..jpg
Torre de Climent Savall (Castelldefels),Castelldefels,"C. Arcadi Balaguer, 116",Obra popular,XVI,41.283644,1.982606,BCIN,4075-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Torre_de_Climent_Savall-_Torreò_Mediterrà.jpg/218px-Torre_de_Climent_Savall-_Torreò_Mediterrà.jpg
"Castell de Fels, Església de Santa Maria i torre de guaita (Castelldefels)",Castelldefels,Plaça del castell,"Romànic, historicisme","XVI, XIX, X",41.284111,1.978226,BCIN,643-MH-ZA,"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Castell_de_Fels,_Església_de_Santa_Maria_i_Torre_de_guaita_(Castelldefels)_-_1.jpg/218px-Castell_de_Fels,_Església_de_Santa_Maria_i_Torre_de_guaita_(Castelldefels)_-_1.jpg"
Can Gomar - Can Ballester (Castelldefels),Castelldefels,,,XVI,41.283218,1.978858,BCIN,646-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Torre_de_Can_Gomar.jpg/218px-Torre_de_Can_Gomar.jpg
La Barona (Castelldefels),Castelldefels,"Av. de l'Hotel, 22",Obra popular,XVI,41.269576,1.962483,BCIN,645-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Torre_Barona.jpg/218px-Torre_Barona.jpg
Castell Vell de Rosanes (Castellví de Rosanes),Castellví de Rosanes,[[Turó del Castell (Castellví de Rosanes)|Turó del Castell]],"Romànic, gòtic","X, XIII-XIV",41.451134,1.919313,BCIN,669-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Castell_Rosanes_IMG_8465.JPG/218px-Castell_Rosanes_IMG_8465.JPG
Creu de Santa Maria de Cervelló,Cervelló,Entrada urb. Can Castany,Gòtic tardà,"XVI-XVII, XX",41.388367,1.962368,BCIN,3931-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Creu_de_terme_Santa_Maria_de_Cervelló.jpg/218px-Creu_de_terme_Santa_Maria_de_Cervelló.jpg
Església de Sant Ponç de Corbera (Cervelló),Cervelló,,Romànic,XI,41.403097,1.913559,BCIN,101-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Sant_Ponç_de_Corbera_PM_25901.jpg/218px-Sant_Ponç_de_Corbera_PM_25901.jpg
Castell de Cervelló,Cervelló,,Romànic,"XI-XII, XIII-XIV",41.387583,1.959389,BCIN,680-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Castell_de_Cervelló_-_1.jpg/218px-Castell_de_Cervelló_-_1.jpg
Castell de Collbató,Collbató,,Romànic,XI-XII,41.570534,1.831280,BCIN,691-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Castell_de_Collbató.jpg/218px-Castell_de_Collbató.jpg
Creu Nova (Corbera de Llobregat),Corbera de Llobregat,C. Camí de la Creu - C. Font del Puntarró,Gòtic,"XV, XVI",41.418517,1.928339,BCIN,3982-MH,
Antic Castell de Corbera (Corbera de Llobregat),Corbera de Llobregat,C. de l'Església - pl. de l'Església,,Medieval,41.417797,1.922504,BCIN,804-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/RI-51-0005464.jpg/218px-RI-51-0005464.jpg
Castell de Corbera (Corbera de Llobregat),Corbera de Llobregat,"C. Major, 1-3",Gòtic tardà,XVI,41.418892,1.923835,BCIN,805-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Castell_de_Corbera_(Corbera_de_Llobregat)_-_3.jpg/218px-Castell_de_Corbera_(Corbera_de_Llobregat)_-_3.jpg
Castell de Cornellà (Cornellà de Llobregat),Cornellà de Llobregat,,Gòtic,XIV-XV,41.353878,2.071623,BCIN,708-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Castell_Cornella_IMG_2029.JPG/218px-Castell_Cornella_IMG_2029.JPG
Castell d'Esparreguera,Esparreguera,Camí de la Colònia Sedó al Puig,Romànic,XI-XII,41.551020,1.871583,BCIN,822-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Castell_d'Esparreguera.jpg/218px-Castell_d'Esparreguera.jpg
Castell de les Espases (Esparreguera),Esparreguera,Cim de les Espases. Accés des de la Puda.,"Romànic, obra popular","X, XIV, XVI",41.580110,1.885422,BCIN,823-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Salvador_espases.JPG/218px-Salvador_espases.JPG
Torre de Picalquers (Esplugues de Llobregat),Esplugues de Llobregat,"Pl. Doña Carolina, 1",Obra popular,"XII, XVIII-XIX",41.383388,2.091565,BCIN,826-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Torre_de_Picalquers_P1140887.JPG/218px-Torre_de_Picalquers_P1140887.JPG
Fort de Sant Pere Màrtir (Esplugues de Llobregat),Esplugues de Llobregat,[[Puig d'Ossa]],Obra popular,XVII,41.394942,2.098998,BCIN,827-MH-ZA,
Mas Rosés (Gavà),Gavà,,,XVI,41.293372,1.991045,BCIN,644-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Masia_rosés.jpg/218px-Masia_rosés.jpg
Castell d'Eramprunyà (Gavà),Gavà,,,Medieval,41.314156,1.957382,BCIN,884-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Castell_d'Eramprunyà.jpg/218px-Castell_d'Eramprunyà.jpg
Can Dardena (Gavà),Gavà,,Obra popular,"Medieval, XVIII",41.300701,1.961360,BCIN,885-MH,
Pont romà (Martorell i Castellbisbal),Martorell,i [[Castellbisbal]],Gòtic,"Romà, XIII, XX",41.474989,1.937802,BCIN,157-MH-ZA,"http://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Puente_del_Diablo,_Martorell,_Catalonia,_Spain._Pic_05.jpg/218px-Puente_del_Diablo,_Martorell,_Catalonia,_Spain._Pic_05.jpg"
El Convent (Martorell),Martorell,"Av. Vicenç Ros, 2",Obra popular,"XVII, XVIII",41.473119,1.931608,BCIN,,
Castell de Rocafort (Martorell),Martorell,,,XI-XII,41.465427,1.923173,BCIN,1023-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Sant_Genís_de_Rocafort_2.jpg/218px-Sant_Genís_de_Rocafort_2.jpg
